"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"TDS","Telephone and Data Systems, Inc.","23.85","2593947011.85","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/tds",
"TU","TELUS Corporation","26.42","15849696123.16","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/tu",
"TDF","Templeton Dragon Fund, Inc.","16.4","584657556.4","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/tdf",
"EMF","Templeton Emerging Markets Fund","9.28","167402987.2","n/a","1987","n/a","n/a","http://www.nasdaq.com/symbol/emf",
"TEI","Templeton Emerging Markets Income Fund, Inc.","9.76","468086623.2","n/a","1993","n/a","n/a","http://www.nasdaq.com/symbol/tei",
"GIM","Templeton Global Income Fund, Inc.","6.21","833035221.18","n/a","1988","n/a","n/a","http://www.nasdaq.com/symbol/gim",
"TPX","Tempur Sealy International, Inc.","64.17","3993704975.25","n/a","2003","Consumer Durables","Home Furnishings","http://www.nasdaq.com/symbol/tpx",
"TS","Tenaris S.A.","21.45","12661257501.75","n/a","n/a","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/ts",
"THC","Tenet Healthcare Corporation","25.34","2525617730.72","n/a","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/thc",
"TNC","Tennant Company","53.02","945729033.26","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/tnc",
"TEN","Tenneco Inc.","41.23","2383456452.93","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/ten",
"TVC","Tennessee Valley Authority","25.19","0","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/tvc",
"TVE","Tennessee Valley Authority","25","0","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/tve",
"TDC","Teradata Corporation","23.47","3121510000","n/a","n/a","Technology","Computer Manufacturing","http://www.nasdaq.com/symbol/tdc",
"TER","Teradyne, Inc.","19.11","3927436348.29","n/a","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/ter",
"TEX","Terex Corporation","16.9","1833650000","n/a","n/a","Capital Goods","Construction/Ag Equipment/Trucks","http://www.nasdaq.com/symbol/tex",
"TX","Ternium S.A.","11.01","2207222527.44","n/a","n/a","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/tx",
"TNH","Terra Nitrogen Company, L.P.","101.34","1893603568.32","n/a","n/a","Basic Industries","Agricultural Chemicals","http://www.nasdaq.com/symbol/tnh",
"TRNO","Terreno Realty Corporation","21.8","944170186.2","n/a","2010","Finance","Real Estate","http://www.nasdaq.com/symbol/trno",
"TRNO^A","Terreno Realty Corporation","25.9","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/trno^a",
"TSO","Tesoro Corporation","101.62","12234074988.5","n/a","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/tso",
"TLLP","Tesoro Logistics LP","47.04","4169342795.52","n/a","2011","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/tllp",
"TTI","Tetra Technologies, Inc.","6.34","508659106.62","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/tti",
"TEVA","Teva Pharmaceutical Industries Limited","63.7","54272400000","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/teva",
"TPL","Texas Pacific Land Trust","122.51","1001407275.86","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/tpl",
"TGH","Textainer Group Holdings Limited","11.88","677349842.4","n/a","2007","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/tgh",
"TXT","Textron Inc.","39.07","10692302449.86","n/a","n/a","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/txt",
"TXTR","Textura Corporation","18.73","488614623.29","n/a","2013","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/txtr",
"TTF","Thai Fund, Inc. (The)","6.5","81318763.5","n/a","1988","n/a","n/a","http://www.nasdaq.com/symbol/ttf",
"AES","The AES Corporation","9.13","6143231529.93","n/a","n/a","Basic Industries","Electric Utilities: Central","http://www.nasdaq.com/symbol/aes",
"AES^C","The AES Corporation","50.16","0","n/a","n/a","Basic Industries","Electric Utilities: Central","http://www.nasdaq.com/symbol/aes^c",
"BX","The Blackstone Group L.P.","25.5","29987085723","n/a","2007","Finance","Investment Managers","http://www.nasdaq.com/symbol/bx",
"SCHW","The Charles Schwab Corporation","29","38179177527","n/a","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/schw",
"SCHW^B","The Charles Schwab Corporation","26.51","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/schw^b",
"SCHW^C","The Charles Schwab Corporation","26.8299","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/schw^c",
"SRV","The Cushing MLP Total Return Fund","10.05","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/srv",
"GRX","The Gabelli Healthcare & Wellness Trust","9.74","145677420.36","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/grx",
"GRX^A","The Gabelli Healthcare & Wellness Trust","26.28","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/grx^a",
"GRX^B","The Gabelli Healthcare & Wellness Trust","27","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/grx^b",
"GDL","The GDL Fund","10.03","205513205.53","n/a","2007","n/a","n/a","http://www.nasdaq.com/symbol/gdl",
"GDL^B","The GDL Fund","50.27","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gdl^b",
"THG","The Hanover Insurance Group, Inc.","77.57","3354690423.62","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/thg",
"THGA","The Hanover Insurance Group, Inc.","25.87","0","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/thga",
"RUBI","The Rubicon Project, Inc.","15.15","672339213.9","n/a","2014","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/rubi",
"TRV","The Travelers Companies, Inc.","105.99","32244150188.04","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/trv",
"TMO","Thermo Fisher Scientific Inc","134.16","53542947297.84","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/tmo",
"THR","Thermon Group Holdings, Inc.","16.4","528226583.2","n/a","2011","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/thr",
"TPRE","Third Point Reinsurance Ltd.","11.72","1236217876.52","n/a","2013","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/tpre",
"TSLF","THL Credit Senior Loan Fund","15.38","0","n/a","2013","n/a","n/a","http://www.nasdaq.com/symbol/tslf",
"TCRX","THL Credit, Inc.","24.7825","0","n/a","2014","n/a","n/a","http://www.nasdaq.com/symbol/tcrx",
"TCRZ","THL Credit, Inc.","25.05","0","n/a","2015","n/a","n/a","http://www.nasdaq.com/symbol/tcrz",
"TC","Thompson Creek Metals Company Inc.","0.1894","41961412.0404","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/tc",
"TRI","Thomson Reuters Corp","35.54","27292795615.62","n/a","n/a","Consumer Services","Publishing","http://www.nasdaq.com/symbol/tri",
"THO","Thor Industries, Inc.","50.9","2671365103.5","n/a","n/a","Consumer Non-Durables","Homebuilding","http://www.nasdaq.com/symbol/tho",
"TDW","Tidewater Inc.","5.91","277579751.19","n/a","n/a","Consumer Services","Marine Transportation","http://www.nasdaq.com/symbol/tdw",
"TIER","TIER REIT, Inc.","15.1","716212569.6","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/tier",
"TIF","Tiffany & Co.","68.26","8751740334.92","n/a","1987","Consumer Services","Consumer Specialties","http://www.nasdaq.com/symbol/tif",
"TLYS","Tilly&#39;s, Inc.","6.2","176539624.6","n/a","2012","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/tlys",
"TSU","TIM Participacoes S.A.","7.55","3654557250.9","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/tsu",
"TIME","Time Inc.","14.36","1576362652.88","n/a","2014","Consumer Services","Newspapers/Magazines","http://www.nasdaq.com/symbol/time",
"TWC","Time Warner Cable Inc","182.93","51805328004.43","n/a","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/twc",
"TWX","Time Warner Inc.","71.17","56898994375.63","n/a","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/twx",
"TKR","Timken Company (The)","25.74","2136254105.7","n/a","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/tkr",
"TMST","Timken Steel Corporation","6.78","299623380.42","n/a","2014","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/tmst",
"TWI","Titan International, Inc.","3.21","172784698.89","n/a","n/a","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/twi",
"TJX","TJX Companies, Inc. (The)","66.93","44811584603.97","n/a","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/tjx",
"TOL","Toll Brothers Inc.","29.79","5193052380","n/a","n/a","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/tol",
"TR","Tootsie Roll Industries, Inc.","30.41","1862391723.4","n/a","n/a","Consumer Non-Durables","Specialty Foods","http://www.nasdaq.com/symbol/tr",
"BLD","TopBuild Corp.","26.69","1005726307.85","n/a","2015","Basic Industries","Engineering & Construction","http://www.nasdaq.com/symbol/bld",
"TMK","Torchmark Corporation","54.42","6711633021.3","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/tmk",
"TMK^B","Torchmark Corporation","25.54","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/tmk^b",
"TTC","Toro Company (The)","68.43","3746006829.96","n/a","n/a","Capital Goods","Tools/Hardware","http://www.nasdaq.com/symbol/ttc",
"TD","Toronto Dominion Bank (The)","36.06","66934269817.2","n/a","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/td",
"NDP","Tortoise Energy Independence Fund, Inc.","10.06","146031674.26","n/a","2012","n/a","n/a","http://www.nasdaq.com/symbol/ndp",
"TYG","Tortoise Energy Infrastructure Corporation","25.12","710804236.64","n/a","2004","n/a","n/a","http://www.nasdaq.com/symbol/tyg",
"TYG^B","Tortoise Energy Infrastructure Corporation","10.05","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/tyg^b",
"NTG","Tortoise MLP Fund, Inc.","15.41","724273251.51","n/a","2010","n/a","n/a","http://www.nasdaq.com/symbol/ntg",
"TTP","Tortoise Pipeline & Energy Fund, Inc.","13.05","130714189.65","n/a","2011","n/a","n/a","http://www.nasdaq.com/symbol/ttp",
"TPZ","Tortoise Power and Energy Infrastructure Fund, Inc","15.78","109692034.74","n/a","2009","n/a","n/a","http://www.nasdaq.com/symbol/tpz",
"TSS","Total System Services, Inc.","45.53","8377038110.48","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/tss",
"TOT","TotalFinaElf, S.A.","40.61","98076796331.29","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/tot",
"TOWR","Tower International, Inc.","23.93","505114128.91","n/a","2010","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/towr",
"TSQ","Townsquare Media, Inc.","10.48","187152961.36","n/a","2014","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/tsq",
"TM","Toyota Motor Corp Ltd Ord","113.06","193219398222.76","n/a","n/a","Capital Goods","Auto Manufacturing","http://www.nasdaq.com/symbol/tm",
"TSLX","TPG Specialty Lending, Inc.","16.11","872581395.6","n/a","2014","n/a","n/a","http://www.nasdaq.com/symbol/tslx",
"TAC","TransAlta Corporation","3.13","889098989.05","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/tac",
"TRP","TransCanada Corporation","30.73","21787679829.02","n/a","n/a","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/trp",
"TCI","Transcontinental Realty Investors, Inc.","9.73","84823872.91","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/tci",
"TDG","Transdigm Group Incorporated","221.49","11891232857.52","n/a","2006","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/tdg",
"TLP","Transmontaigne Partners L.P.","27.48","443103073.68","n/a","2005","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/tlp",
"RIG","Transocean Ltd.","10.75","3910157087.25","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/rig",
"RIGP","Transocean Partners LLC","8.03","553793101.51","n/a","2014","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/rigp",
"TGS","Transportadora De Gas Sa Ord B","5.94","943860060","n/a","n/a","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/tgs",
"TRU","TransUnion","26.14","4764381299.82","n/a","2015","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/tru",
"TA","TravelCenters of America LLC","8.33","319847159.94","n/a","n/a","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/ta",
"TANN","TravelCenters of America LLC","24.9","0","n/a","n/a","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/tann",
"TANO","TravelCenters of America LLC","24.81","0","n/a","2014","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/tano",
"TANP","TravelCenters of America LLC","24.72","0","n/a","2015","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/tanp",
"TVPT","Travelport Worldwide Limited","11.3","1385985600.9","n/a","2014","Consumer Services","Transportation Services","http://www.nasdaq.com/symbol/tvpt",
"TRR","TRC Companies, Inc.","9.05","279087013.2","n/a","n/a","Consumer Services","Military/Government/Technical","http://www.nasdaq.com/symbol/trr",
"TREC","Trecora Resources","11.8","288613132","n/a","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/trec",
"TG","Tredegar Corporation","11.99","391829746.88","n/a","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/tg",
"THS","Treehouse Foods, Inc.","69.37","2989521307.85","n/a","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/ths",
"TRMR","Tremor Video, Inc.","1.8299","95361183.4416","n/a","2013","Technology","Advertising","http://www.nasdaq.com/symbol/trmr",
"TREX","Trex Company, Inc.","33.71","1040523165.29","n/a","n/a","Basic Industries","Forest Products","http://www.nasdaq.com/symbol/trex",
"TY","Tri Continental Corporation","19.07","1199976260.19","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ty",
"TY^","Tri Continental Corporation","50.75","0","n/a","n/a","Consumer Services","Miscellaneous","http://www.nasdaq.com/symbol/ty^",
"TPH","TRI Pointe Group, Inc.","10.67","1726552712.5","n/a","2013","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/tph",
"TCAP","Triangle Capital Corporation","18.94","631106350.06","n/a","2007","n/a","n/a","http://www.nasdaq.com/symbol/tcap",
"TCCA","Triangle Capital Corporation","24.88","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/tcca",
"TCCB","Triangle Capital Corporation","25.1099","0","n/a","2015","n/a","n/a","http://www.nasdaq.com/symbol/tccb",
"TRCO","Tribune Media Company","32","3013742080","n/a","2014","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/trco",
"TPUB","Tribune Publishing Company","8.47","222187420.07","n/a","2014","Consumer Services","Newspapers/Magazines","http://www.nasdaq.com/symbol/tpub",
"TSL","Trina Solar Limited","10.86","1000466281.62","n/a","2006","Technology","Semiconductors","http://www.nasdaq.com/symbol/tsl",
"TNET","TriNet Group, Inc.","16.81","1177075501.78","n/a","2014","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/tnet",
"TRN","Trinity Industries, Inc.","21.36","3264988481.76","n/a","n/a","Capital Goods","Railroads","http://www.nasdaq.com/symbol/trn",
"TSE","Trinseo S.A.","24.88","1213594997.92","n/a","2014","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/tse",
