Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,incr2015,incr2014,incr2013,incr3year,incr6year
TFSC,1347 Capital Corp.,9.85,58587800.0,n/a,2014,Finance,Business Services,http://www.nasdaq.com/symbol/tfsc,4.79,1.44,,4.23,4.23
TFSCU,1347 Capital Corp.,10.1001,42218418.0,n/a,2014,Finance,Business Services,http://www.nasdaq.com/symbol/tfscu,2.11,0.2,,1.9,1.9
PIH,"1347 Property Insurance Holdings, Inc.",6.9057,42704234.1927,n/a,2014,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/pih,1.06,-9.67,,-11.97,-11.97
FLWS,"1-800 FLOWERS.COM, Inc.",6.83,443006722.36,n/a,1999,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/flws,-7.38,52.52,41.85,97.83,97.83
FCTY,"1st Century Bancshares, Inc",7.6,78444935.2,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fcty,5.18,-5.39,51.46,44.35,44.35
FCCY,1st Constitution Bancorp (NJ),12.71,95923183.44,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fccy,21.74,0.36,22.49,50.48,50.48
SRCE,1st Source Corporation,29.58,771509908.26,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/srce,-1.82,6.38,42.54,48.16,48.16
VNET,"21Vianet Group, Inc.",19.84,1014430389.76,51130564,2011,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/vnet,21.01,-32.46,122.3,115.27,115.27
TWOU,"2U, Inc.",24.32,1108416053.76,n/a,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/twou,51.65,39.34,,100.14,100.14
DGLD,3X Inverse Gold ETN Velocityshares,83.69,11382676.9,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/dgld,34.98,2.31,82.59,126.24,126.24
DSLV,3X Inverse Silver ETN Velocityshares,69.05,39146930.8,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/dslv,14.28,50.91,81.79,173.1,173.1
UGLD,3X Long Gold ETN Velocityshares,8.31,8190485.58,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/ugld,-40.18,-20.28,-65.94,-81.98,-81.98
USLV,3X Long Silver ETN Velocityshares,10.03,19683503.89,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/uslv,-54.83,-61.42,-80.71,-96.25,-96.25
JOBS,"51job, Inc.",27.41,645862433.02,23563022,2004,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/jobs,-19.51,-8.37,50.06,12.49,12.49
SIXD,"6D Global Technologies, Inc.",2.9,226918805.6,n/a,n/a,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/sixd,-64.06,116.19,157.14,99.77,99.77
CAFD,8point3 Energy Partners LP,16.53,1173674283.87,n/a,2015,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/cafd,-19.02,,,-19.02,-19.02
EGHT,8x8 Inc,10.43,931249100.04,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/eght,31.31,-17.56,32.94,50.86,50.86
AVHI,"A V Homes, Inc.",12.12,270810734.4,n/a,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/avhi,-14.26,-23.7,23.78,-13.21,-13.21
AAON,"AAON, Inc.",20.52,1109985117.84,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aaon,9.44,5.55,115.34,140.86,140.86
ABAX,"ABAXIS, Inc.",51.54,1170834180.0,n/a,1992,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/abax,-1.73,33.79,0.07,41.23,41.23
ABY,Abengoa Yield plc,17.65,1768834639.0,n/a,2014,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/aby,-29.64,-24.63,,-44.48,-44.48
ABGB,"Abengoa, S.A.",1.22,15268419.56,12515098,2013,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/abgb,-89.89,-24.22,15.69,-89.28,-89.28
ABEO,Abeona Therapeutics Inc.,2.92,95579726.36,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeo,3.7,-75.71,-3.7,-75.11,-75.11
ABIL,Ability Inc.,9.63,101448438.75,n/a,2014,Finance,Business Services,http://www.nasdaq.com/symbol/abil,0.41,1.23,,1.23,1.23
ABMD,"ABIOMED, Inc.",84.58,3587669528.02,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/abmd,135.04,24.24,120.9,636.98,636.98
AXAS,Abraxas Petroleum Corporation,0.9501,101039335.55,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/axas,-63.45,-5.71,45.95,-52.25,-52.25
ACTG,Acacia Research Corporation,3.795,192544664.565,n/a,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/actg,-72.43,22.87,-43.99,-81.97,-81.97
ACHC,"Acadia Healthcare Company, Inc.",62.45,4476944014.75,n/a,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/achc,1.12,14.14,92.23,151.35,151.35
ACAD,ACADIA Pharmaceuticals Inc.,28.04,2829561965.0,n/a,1985,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acad,6.83,29.09,404.19,611.58,611.58
ACST,"Acasti Pharma, Inc.",1.87,19937240.62,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acst,-53.64,-63.04,-53.7,-90.56,-90.56
AXDX,"Accelerate Diagnostics, Inc.",19.95,892542172.2,n/a,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/axdx,-8.75,40.42,173.35,406.84,406.84
XLRN,Acceleron Pharma Inc.,34.43,1144908881.05,n/a,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/xlrn,18.52,-18.85,85.85,132.3,132.3
ANCX,Access National Corporation,19.58,206453987.08,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/ancx,23.84,19.77,9.32,64.2,64.2
ARAY,Accuray Incorporated,6.02,480817129.1,n/a,2007,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/aray,-2.03,-18.35,70.86,34.73,34.73
ACRX,"AcelRx Pharmaceuticals, Inc.",3.44,152891174.96,n/a,2011,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrx,-47.4,-46.34,175.17,-12.3,-12.3
ACET,Aceto Corporation,22.11,652290170.73,n/a,n/a,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/acet,33.53,-6.45,139.33,181.63,181.63
AKAO,"Achaogen, Inc.",5.39,98936781.02,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akao,-56.81,-13.61,,-64.48,-64.48
ACHN,"Achillion Pharmaceuticals, Inc.",8.89,1213884347.69,n/a,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/achn,-25.89,248.95,-63.09,14.79,14.79
ACIW,"ACI Worldwide, Inc.",19.18,2268205510.2,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/aciw,14.56,-6.69,38.51,38.21,38.21
ACRS,"Aclaris Therapeutics, Inc.",23.5,473701320.5,n/a,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrs,115.52,,,115.52,115.52
ACNB,ACNB Corporation,21.43,129322228.05,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/acnb,5.73,16.92,21.46,47.87,47.87
ACOR,"Acorda Therapeutics, Inc.",40.22,1735708941.18,n/a,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/acor,1.66,39.21,6.95,56.53,56.53
ACTS,"Actions Semiconductor Co., Ltd.",1.71,60499141.65,35379615,2005,Technology,Semiconductors,http://www.nasdaq.com/symbol/acts,-14.72,-31.79,49.49,-14.29,-14.29
ACPW,"Active Power, Inc.",1.25,28885261.25,n/a,2000,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/acpw,-27.37,-46.74,-22.01,-68.9,-68.9
ATVI,"Activision Blizzard, Inc",35.71,26110575640.6,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/atvi,106.91,11.79,60.85,247.23,247.23
ACTA,Actua Corporation,9.84,401451788.64,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acta,-34.5,3.17,56.78,0.17,0.17
ACUR,"Acura Pharmaceuticals, Inc.",2.06,24310031.16,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acur,-24.24,-71.1,-28.63,-78.63,-78.63
ACXM,Acxiom Corporation,18.89,1471038499.92,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acxm,6.3,-45.84,96.05,13.14,13.14
ADMS,"Adamas Pharmaceuticals, Inc.",24.48,450972371.52,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adms,67.97,34.54,,117.85,117.85
ADMP,Adamis Pharmaceuticals Corporation,4.82,64740596.38,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/admp,-3.57,-1.92,-42.84,-52.59,-52.59
ADAP,Adaptimmune Therapeutics plc,10.53,118462500.0,11250000,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adap,-29.8,,,-29.8,-29.8
ADUS,Addus HomeCare Corporation,22.27,247382375.48,n/a,2009,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/adus,1.44,-6.06,173.87,176.48,176.48
AEY,"ADDvantage Technologies Group, Inc.",1.71,17208692.73,n/a,n/a,Consumer Services,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/aey,-26.42,-17.53,33.33,-13.81,-13.81
IOTS,Adesto Technologies Corporation,6.59,98683391.62,n/a,2015,Technology,Semiconductors,http://www.nasdaq.com/symbol/iots,29.58,,,29.58,29.58
ADMA,ADMA Biologics Inc,7.15,76598572.05,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adma,-26.64,43.3,-7.97,-5.39,-5.39
ADBE,Adobe Systems Incorporated,87.85,43819522809.7,n/a,1986,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adbe,30.76,21.52,55.32,146.63,146.63
ADTN,"ADTRAN, Inc.",17.18,851445009.1,n/a,1994,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/adtn,-17.33,-11.85,29.49,-12.68,-12.68
ADRO,"Aduro Biotech, Inc.",23.59,1491454938.47,n/a,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adro,-29.65,,,-29.65,-29.65
AAAP,Advanced Accelerator Applications S.A.,28,150953600.0,5391200,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aaap,23.79,,,23.79,23.79
AEIS,"Advanced Energy Industries, Inc.",25.45,1044518467.35,n/a,1995,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeis,18.61,1.3,67.7,103.09,103.09
AMD,"Advanced Micro Devices, Inc.",2.14,1695731407.56,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/amd,9.13,-35.97,49.81,7.49,7.49
ADXS,"Advaxis, Inc.",7.94,264924682.26,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxs,-10.97,98.58,-53.53,18.35,18.35
AEGR,"Aegerion Pharmaceuticals, Inc.",8.31,240470425.56,n/a,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aegr,-54.36,-67.19,166.04,-63.47,-63.47
AEGN,Aegion Corp,16.85,610728469.05,n/a,n/a,Basic Industries,Water Supply,http://www.nasdaq.com/symbol/aegn,16.12,-13.95,-6.05,-14.78,-14.78
AEHR,Aehr Test Systems,1.85,24033864.3,n/a,1997,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/aehr,-28.24,-6.46,260.0,121.18,121.18
AMTX,"Aemetis, Inc",2.35,46014003.45,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/amtx,-38.82,3.0,,-50.21,-50.21
AEPI,AEP Industries Inc.,74.82,381780572.28,n/a,1986,Capital Goods,Specialty Chemicals,http://www.nasdaq.com/symbol/aepi,41.61,13.48,-10.77,25.86,25.86
AERI,"Aerie Pharmaceuticals, Inc.",19.89,524398338.36,n/a,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/aeri,-19.08,57.67,65.22,129.5,129.5
AVAV,"AeroVironment, Inc.",26.73,623734606.44,n/a,2007,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/avav,12.74,-3.72,31.09,35.56,35.56
AEZS,AEterna Zentaris Inc.,3.29,32654447.56,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aezs,-92.66,-52.0,-46.72,-98.36,-98.36
AEMD,"Aethlon Medical, Inc.",6.62,50415510.32,n/a,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/aemd,-57.56,105.26,137.5,69.75,69.75
AFMD,Affimed N.V.,5.05,150157548.4,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/afmd,3.04,9.47,,24.91,24.91
AFFX,"Affymetrix, Inc.",9.21,736499081.67,n/a,1996,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/affx,-2.89,5.16,130.46,171.97,171.97
AGEN,Agenus Inc.,3.78,319962692.7,n/a,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/agen,-14.18,26.75,-30.35,12.94,12.94
AGRX,"Agile Therapeutics, Inc.",8.15,181681161.05,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agrx,42.69,14.08,,76.17,76.17
AGYS,"Agilysys, Inc.",8.79,201651170.25,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/agys,-18.18,-14.95,62.33,16.16,16.16
AGIO,"Agios Pharmaceuticals, Inc.",51.69,1945644526.53,n/a,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agio,-49.33,301.02,-19.49,127.55,127.55
AGFS,"AgroFresh Solutions, Inc.",6.06,302639720.88,n/a,2014,Finance,Business Services,http://www.nasdaq.com/symbol/agfs,-35.08,-0.41,,-34.34,-34.34
AIMT,"Aimmune Therapeutics, Inc.",16.67,704298014.77,n/a,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aimt,-19.78,,,-19.78,-19.78
AIRM,Air Methods Corporation,37.89,1489178317.86,n/a,n/a,Transportation,Transportation Services,http://www.nasdaq.com/symbol/airm,-3.32,-21.35,39.7,1.26,1.26
AIRT,"Air T, Inc.",23.02,54615571.54,n/a,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/airt,8.71,123.82,41.39,189.52,189.52
ATSG,"Air Transport Services Group, Inc",9.5,611411041.5,n/a,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/atsg,23.53,7.61,83.03,131.19,131.19
AMCN,AirMedia Group Inc,5.52,242160661.2,43869685,2007,Technology,Advertising,http://www.nasdaq.com/symbol/amcn,128.16,5.69,-9.36,137.87,137.87
AIXG,Aixtron SE,3.65,15369733.9,4210886,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aixg,-56.49,-28.6,5.52,-67.92,-67.92
AKAM,"Akamai Technologies, Inc.",48.1,8558863639.3,n/a,1999,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/akam,-13.41,31.22,17.33,32.94,32.94
AKTX,Akari Therapeutics Plc,17.09,8549033.24,500236,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aktx,-71.29,-51.27,,-85.28,-85.28
AKBA,"Akebia Therapeutics, Inc.",8.51,260676081.87,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akba,12.35,-51.48,,-45.49,-45.49
AKER,Akers Biosciences Inc,1.61,8283187.57,n/a,2014,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/aker,-67.03,-30.19,,-77.17,-77.17
AKRX,"Akorn, Inc.",37.47,4287801999.51,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akrx,-8.37,57.99,74.52,164.8,164.8
ALRM,"Alarm.com Holdings, Inc.",16.01,729642493.72,n/a,2015,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/alrm,-1.18,,,-1.18,-1.18
ALSK,"Alaska Communications Systems Group, Inc.",1.78,89738627.02,n/a,1999,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/alsk,2.94,-20.61,13.24,-14.22,-14.22
AMRI,"Albany Molecular Research, Inc.",17.81,632286630.56,n/a,1999,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/amri,21.41,43.16,69.37,228.64,228.64
ADHD,Alcobra Ltd.,5.47,115864019.34,n/a,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adhd,18.71,-81.06,149.93,-13.38,-13.38
ALDR,"Alder BioPharmaceuticals, Inc.",30.26,1319684928.06,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aldr,17.67,188.1,,230.3,230.3
ALDX,"Aldeyra Therapeutics, Inc.",6.7483,65543005.4643,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aldx,-9.36,1.39,,-5.83,-5.83
ALXN,"Alexion Pharmaceuticals, Inc.",168.13,37883775063.4,n/a,1996,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alxn,3.52,38.01,31.21,90.01,90.01
ALXA,"Alexza Pharmaceuticals, Inc.",0.54,10567653.66,n/a,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alxa,-67.59,-68.89,0.82,-85.57,-85.57
ALCO,"Alico, Inc.",35.26,292468019.12,n/a,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/alco,-28.72,28.95,-3.05,-1.3,-1.3
ALGN,"Align Technology, Inc.",64.53,5129499250.44,n/a,2001,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/algn,5.23,-7.43,120.99,154.54,154.54
ALIM,"Alimera Sciences, Inc.",2.39,106464038.97,n/a,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alim,-57.77,17.14,173.84,40.7,40.7
ALKS,Alkermes plc,71.24,10690135838.2,n/a,1991,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alks,21.86,29.05,82.97,262.47,262.47
ABTX,"Allegiance Bancshares, Inc.",22.26,285217046.1,n/a,2015,Finance,Major Banks,http://www.nasdaq.com/symbol/abtx,5.02,,,5.02,5.02
ALGT,Allegiant Travel Company,147.66,2486322262.62,n/a,2006,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/algt,9.84,47.18,51.39,141.75,141.75
AFOP,"Alliance Fiber Optic Products, Inc.",13.77,239387773.41,n/a,2000,Technology,Semiconductors,http://www.nasdaq.com/symbol/afop,6.91,-2.11,147.84,152.95,152.95
AIQ,"Alliance HealthCare Services, Inc.",8.02,86220004.48,n/a,2001,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aiq,-54.01,-19.69,302.54,37.43,37.43
AHGP,"Alliance Holdings GP, L.P.",19.66,1176906580.0,n/a,2006,Energy,Coal Mining,http://www.nasdaq.com/symbol/ahgp,-62.96,18.4,19.21,-50.4,-50.4
ARLP,"Alliance Resource Partners, L.P.",13.27,984485163.68,n/a,1999,Energy,Coal Mining,http://www.nasdaq.com/symbol/arlp,-63.26,20.99,26.56,-47.99,-47.99
AHPI,"Allied Healthcare Products, Inc.",1.038,8332178.586,n/a,1992,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/ahpi,-27.74,-26.56,-16.07,-60.0,-60.0
AMOT,"Allied Motion Technologies, Inc.",21.15,196555325.4,n/a,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/amot,21.17,80.23,104.13,300.42,300.42
ALQA,"Alliqua BioMedical, Inc.",2.09,57828028.17,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/alqa,-60.07,-40.71,222.25,-2.18,-2.18
ALLT,Allot Communications Ltd.,5.43,181154188.47,n/a,2006,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/allt,-37.89,-39.92,10.02,-57.73,-57.73
MDRX,"Allscripts Healthcare Solutions, Inc.",14,2646211400.0,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/mdrx,21.39,-16.61,51.88,52.28,52.28
AFAM,Almost Family Inc,40.7,399801472.4,n/a,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/afam,29.59,-12.76,61.75,90.67,90.67
ALNY,"Alnylam Pharmaceuticals, Inc.",84.61,7169488169.27,n/a,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alny,-7.07,47.67,213.19,366.96,366.96
AOSL,Alpha and Omega Semiconductor Limited,8.23,182706493.8,n/a,2010,Technology,Semiconductors,http://www.nasdaq.com/symbol/aosl,1.32,19.3,-12.3,4.67,4.67
GOOG,Alphabet Inc.,714.47,4.91358997923e+11,n/a,2004,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/goog,52.95,-6.28,,35.52,35.52
GOOGL,Alphabet Inc.,730.91,5.02665199619e+11,n/a,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/googl,55.38,-6.38,49.33,110.07,110.07
ATEC,"Alphatec Holdings, Inc.",0.31,31341411.99,n/a,2006,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/atec,-78.57,-34.27,20.35,-82.56,-82.56
ASPS,Altisource Portfolio Solutions S.A.,28.54,550778961.68,n/a,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/asps,-3.77,-79.03,72.24,-70.61,-70.61
AIMC,Altra Industrial Motion Corp.,22.85,594389303.85,n/a,2006,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aimc,-2.92,-17.0,48.83,15.89,15.89
AMAG,"AMAG Pharmaceuticals, Inc.",23.13,802701762.12,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amag,-28.86,104.91,50.69,90.11,90.11
AMRN,Amarin Corporation PLC,1.63,288833941.31,177198737,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amrn,75.0,-49.33,-76.91,-78.07,-78.07
AMRK,"A-Mark Precious Metals, Inc.",17.36,121060810.64,n/a,n/a,Basic Industries,Other Specialty Stores,http://www.nasdaq.com/symbol/amrk,97.51,-24.7,,44.85,44.85
AYA,Amaya Inc.,11.76,1570224329.52,n/a,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/aya,-45.05,243.46,47.24,147.83,147.83
AMZN,"Amazon.com, Inc.",607.05,2.84561975135e+11,n/a,1997,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/amzn,127.63,-22.42,47.96,152.25,152.25
AMBC,"Ambac Financial Group, Inc.",12.61,567708769.81,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ambc,-45.72,4.02,18.63,-30.93,-30.93
AMBCW,"Ambac Financial Group, Inc.",5.56,0.0,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ambcw,-56.05,-0.56,10.65,-49.77,-49.77
AMBA,"Ambarella, Inc.",45,1442221830.0,n/a,2012,Technology,Semiconductors,http://www.nasdaq.com/symbol/amba,-9.85,74.07,167.68,336.15,336.15
AMCX,AMC Networks Inc.,75.9,5494317965.4,n/a,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/amcx,18.13,-7.59,25.39,40.38,40.38
DOX,Amdocs Limited,52.17,7843864100.85,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/dox,17.59,13.88,18.03,60.5,60.5
AMDA,Amedica Corporation,0.119,18276538.721,n/a,2014,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/amda,-87.41,-84.68,,-97.9,-97.9
AMED,Amedisys Inc,38.08,1282960896.0,n/a,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/amed,39.88,93.84,31.56,255.52,255.52
UHAL,Amerco,361.9,7096058477.2,n/a,n/a,Consumer Services,Rental/Leasing Companies,http://www.nasdaq.com/symbol/uhal,41.7,19.81,84.33,201.63,201.63
ATAX,"America First Multifamily Investors, L.P.",5.01,301867169.28,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/atax,2.85,-10.17,-2.67,-7.68,-7.68
AMOV,"America Movil, S.A.B. de C.V.",12.07,115857576.35,9598805,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/amov,-36.02,-0.37,-6.27,-38.82,-38.82
AAL,"American Airlines Group, Inc.",40.37,25446242009.4,n/a,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/aal,-17.89,84.61,79.57,190.46,190.46
AGNC,American Capital Agency Corp.,17.63,6107914963.29,n/a,2008,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agnc,-10.39,28.29,-26.52,-14.63,-14.63
AGNCB,American Capital Agency Corp.,23.52,8148505952.16,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agncb,2.46,6.91,,9.71,9.71
AGNCP,American Capital Agency Corp.,25.11,0.0,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agncp,2.75,12.58,5.87,23.38,23.38
MTGE,American Capital Mortgage Investment Corp.,14.13,706647601.98,n/a,2011,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/mtge,-22.53,18.17,-17.19,-21.9,-21.9
MTGEP,American Capital Mortgage Investment Corp.,24.19,48380000.0,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/mtgep,5.97,5.54,,12.92,12.92
GNOW,American Caresource Holdings Inc,0.3501,2434697.9793,n/a,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/gnow,-86.1,69.7,-3.14,-74.21,-74.21
AETI,"American Electric Technologies, Inc.",3.4,28063603.4,n/a,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeti,-62.83,-42.14,93.37,-57.83,-57.83
AMIC,American Independence Corp.,14.5,117277522.5,n/a,n/a,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/amic,-17.99,-4.04,150.0,80.04,80.04
AMNB,"American National Bankshares, Inc.",24.1,208147892.2,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/amnb,14.84,2.74,29.44,42.29,42.29
ANAT,American National Insurance Company,95.4,2565449290.8,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/anat,0.53,5.58,59.1,55.28,55.28
APEI,"American Public Education, Inc.",16.66,270996408.06,n/a,2007,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/apei,-46.46,-15.8,13.91,-50.03,-50.03
